Age	id	Height	Weight	BMI
				
Females	0 formula in e4
5	1	123.5	20	13.11281942
6	2	120.4	24	16.55610865
7	3	130.2	26.5	15.63233688
8	4	130.4	29.3	17.23107757
9	5	135.2	29.2	15.97458072
10	6	143.2	40.4	19.70132018
11	7	150.3	38.1	16.86580266
12	8	159.2	45	17.75523345
13	9	161.8	50.7	19.36649039
14	10	165.2	54.6	20.00656626
15	11	166	61.3	22.24560894
16	12	162.6	54.7	20.68932128
17	13	166.2	57.9	20.96121849
18	14	169.2	62.9	21.97100526
19	15	170.4	51.7	17.80538473
Males	16	0	0	0
5	17	121.9	22.9	15.41090244
6	18	123.8	23	15.00674651
7	19	132	30.1	17.27502296
8	20	131.6	25.9	14.955054
9	21	137.9	31.4	16.51205459
10	22	143.5	37	17.96792483
11	23	150.9	37.5	16.46845237
12	24	156.9	45.6	18.52332538
13	25	154.6	39.4	16.48455556
14	26	171.8	58.1	19.68474591
15	27	170.1	64	22.11929836
16	28	173.2	69.8	23.26803172
17	29	180.3	69.2	21.28700886
18	30	175.8	66.5	21.5171082
19	31	176.9	62.6	20.0040839
 	
 	
 	
 
 	
 	
